,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
28,bhred(h?)-,Russ.-ksl.,bresti,durch eine Furt waten,"(tiefstufig Präs. *brьdǫ in neprěbrъdomъ `nicht durchwatbar', Aor. pribrьde, vgl. ačech. přěbrde `wird durchwaten', poln. brnąć `waten' aus *brьdnǫti)",,wading through a ford,"(deep-level present *brьdǫ in neprěbrъdomъ 'not passable', aor. pribrьde, cf. Czech přěbrde 'to wade through', Polish brnąć 'to wade' from *brьdnǫti)"
29,bhred(h?)-,Russ.,bredú,"langsam gehen, mit dem Zugnetz fischen",,,"slow down, fish with the fishing net",
30,bhred(h?)-,Russ.,brestí,"langsam gehen, mit dem Zugnetz fischen",,,"slow down, fish with the fishing net",
31,bhred(h?)-,Russ.,bréditь,"Unsinn schwatzen, phantasieren",,,"Talking nonsense, fantasizing.",
32,bhred(h?)-,Russ.,bred,Weide,da oft im Wasser stehend,,Willow,since often standing in water.
33,bhred(h?)-,Russ.,bredína,Weide,da oft im Wasser stehend,,Willow,since often standing in water.
34,bhred(h?)-,Russ.-ksl.,brodъ,Furt,,,Ford,
35,bhred(h?)-,Russ.,brodit,waten,,,wade,
36,bhred(h?)-,Russ.,brodítь,"langsam gehen, schleichen, umherschweifen; gären",iter.,,"walk slowly, creep, wander around; ferment",iter. [UNKNOWN]
37,bhred(h?)-,Skr.,bròditi,waten,iter.,,wade,iter. [UNKNOWN]
0,bhre(n)k̑-,Ai.,bhráṁśate,"fällt, stürzt",,,"falls, crashes",
0,bhre(n)k̑-,Ai.,bhraśyate,"fällt, stürzt",,,"falls, crashes",
1,bhre(n)k̑-,Ai.,bhraṣṭá-ḥ,"Fall, Verlust",,,"Case, Loss",
1,bhre(n)k̑-,Ai.,bhraṁśa-ḥ,"Fall, Verlust","bhraṁśa- mit ursprgl. bloß präsentischer, dann weiter gewucherter Nasalierung? oder alte Doppelformen?",,"Case, Loss","Is bhraṁśa a nasalization that was originally only present, then further developed? Or are they old double forms?"
,bhre(n)k̑-,Rv.,bhrāśáyan,,(Kaus.) im RV. nur von nasalloser Basis,,,(Kaus.) im RV. nur von nasalloser Basis
,bhre(n)k̑-,Ai.,(mā́) bhraśat,,(Aor.) im RV. nur von nasalloser Basis,,,(Aor.) in the RV. only from a nasal-less base.
,bhre(n)k̑-,Ai.,áni-bhr̥ṣṭa-ḥ,nicht erliegend',,,not yielding,
,,,,,,,,
2,bhre(n)k̑-,Air.,brēc,Lüge,"*bhrenkā ist der Bed. halber nicht so sicher mit ai.bhraṁsá-ḥ zu vergleichen, daß es in letzterem Sinne entschiede. Kuiper (Nasalpras. 141 f.) setzt *bhrek̂-mi nehen *bhre-n-k̂ō an; seine etymologischen Vergleiche sind jedoch nicht überzeugend.",,Lie,"*bhrenkā cannot be compared as securely with ai.bhraṁsá-ḥ in terms of meaning, so that it is determined in the latter sense. Kuiper (Nasalpras. 141 f.) posits *bhrek̂-mi alongside *bhre-n-k̂ō; however, his etymological comparisons are not convincing."
0,bhren-to-s,Messap.,βρένδον,ἔλαφον,Hes. (aus *βρέντον),,deer,Hes. (from *βρέντον)
1,bhren-to-s,Messap.,βρέντιον,Hirschkopf,Hes.,,Deer head,Hes. [UNKNOWN]
2,bhren-to-s,Messap.,brunda,"Hirschkopf; Kurzform (neben Brenda) zum ON Brundisium, älter Βρεντέσιον 'Brindisi', illyr. VN Βρέντιοι",,,"Deer's head; short form (alongside Brenda) of the place name Brundisium, older Βρεντέσιον 'Brindisi', Illyrian tribe Βρέντιοι.",
3,bhren-to-s,Ven.,Brinta,Brenta,"FlN; noch heute in ital. Berg- und Pflanzennamen (Bertoldi IF. 52, 206 f.)",,Brenta,"FlN; still present today in Italian mountain and plant names (Bertoldi IF. 52, 206 f.)"
,,,,,,,,
5,bhren-to-s,Alb.,"brî, brîni","Horn, Geweih","*bhr̥-no-, Plur. geg. brîena",,"Horn, antlers","*bhr̥-no-, Plur. geg. brîena"
6,bhren-to-s,Raetorom.,brenta,Tragkorb,,,Carrier basket,
7,bhren-to-s,nschwed.,brind(e),männliches Elentier,,,male elephant,
8,bhren-to-s,Norw.,bringe,männliches Elentier,"*bhrentós, mit g aus d",,male elephant,"*bhrentós, with g from d"
9,bhren-to-s,Norw.,brund,Männchen vom Renntier,ablaut. *bhrn̥tós,,Reindeer figurine,ablaut. *bhrn̥tós [UNKNOWN]
10,bhren-to-s,Lett.,briêdis,"Еlеn, Rothirsch","falls aus einer idg. Nebenform *bhrendis, muß die Quelle von lit. bríedis, apr. braydis m. 'Elch' sein; ob germ. Lw.?",,"Elen, red deer","if from an idg. variant *bhrendis, the source must be lit. bríedis, apr. braydis m. 'moose'; whether of germ. origin?"
11,bhren-to-s,,,"Vielleicht zu bhren- 'hervorstehen, Kante'; anders Specht Dekl. 120.",,Connects the root to bhren- 'Kante',"Perhaps related to ""bhren"" - 'to protrude, edge'; differently, Specht Declension 120.",
0,"2. bhrēu-, bhrū-",Air.,brū,"Rand, Ufer",*brū-āko-,,"Edge, shore",*brū-āko- [UNKNOWN]
1,"2. bhrēu-, bhrū-",Air.,bruach,"Rand, Ufer",*brū-āko-,,"Edge, shore",*brū-āko- [UNKNOWN]
2,"2. bhrēu-, bhrū-",aisl.,brūn,Kante,,,Edge,
3,"2. bhrēu-, bhrū-",aisl.,brȳna,wetzen,,,to sharpen,
4,"2. bhrēu-, bhrū-",aisl.,brȳni,Wetzstein,,,Whetstone,
5,"2. bhrēu-, bhrū-",ags.,brūn,scharf (von Waffen),,,sharp (of weapons),
6,"2. bhrēu-, bhrū-",mhd.,brūn,scharf (von Waffen),,,sharp (of weapons),
7,"2. bhrēu-, bhrū-",Lit.,briaunà,"Kante, Rand, Gesims",*bhrēunā,,"Edge, border, cornice",*bhrēunā [UNKNOWN]
8,"2. bhrēu-, bhrū-",aisl.,brūn,"Kante, Rand, Gesims",ablaut. mit aisl. brūn.,,"Edge, border, cornice",ablaut. with Old Norse brūn.
0,"bhroisqo-, bhrisqo-",Russ.-ksl.,obrězgnuti,sauer werden,,,to get angry,
0,"bhroisqo-, bhrisqo-",Russ.-ksl.,obrьzgnuti,sauer werden,,,to get angry,
1,"bhroisqo-, bhrisqo-",čech.,břesk,herber Geschmack,,,bitter taste,
2,"bhroisqo-, bhrisqo-",poln.,brzazg,"unangenehmer, herber Geschmack; üble Laune",,,"unpleasant, bitter taste; bad mood",
3,"bhroisqo-, bhrisqo-",russ.,brezgátь,sich ekeln,alt brězgati,,to feel disgusted,alt brězgati [UNKNOWN]
4,"bhroisqo-, bhrisqo-",norw.,brisk,bitterer Geschmack,,,bitter taste,
5,"bhroisqo-, bhrisqo-",norw.,brisken,"bitter, herbe",,,"bitter, tangy",
6,"bhroisqo-, bhrisqo-",Notes,,,wohl zu bhrēi- 'schneiden' (wie mndl. brīne 'Salzwasser').,this is a general note; connects to another root,,probably related to bhrēi- 'to cut' (like mndl. brīne 'saltwater').
0,bhrugh-no-,Cymr.,brwyn-en,Binse,f.,,Reed grass,f. [UNKNOWN]
1,bhrugh-no-,acorn.,brunnen,"juncus, scirpus",,,"juncus, scirpus",
2,bhrugh-no-,bret.,broenn-enn,"juncus, scirpus",(aus urk.*brugno-),,"juncus, scirpus",(from urk.*brugno-)
3,bhrugh-no-,ags.,brogn(e),"Zweig, Busch",f.,,"Twig, bush",f. [UNKNOWN]
4,bhrugh-no-,norw. dial.,brogn(e),"Baumzweig, Kleestengel, Himbeerstrauch",,,"Tree branch, clover stem, raspberry bush",
0,*dəg̑h-mó-,ai.,jihmá-,"schräg, schief",urar. *žižhmá- assim. aus *dižhmá-,,"slanted, crooked",urar. *žižhmá- assimilated from *dižhmá-
1,*dəg̑h-mó-,gr.,δοχμός,schief,assim. aus *δαχμός?,,crooked,assim. from *δαχμός?
2,*dəg̑h-mó-,gr.,δόχμιος,schief,assim. aus *δαχμός?,,crooked,assim. from *δαχμός?
0,2. del-,ai.,dulā́,die Schwankende,,,the wavering.,
1,2. del-,ai.,dōlayatē,"schaukelt, schwankt",mit sekundärer Hochstufe ō,,"rocks, sways",with secondary high grade ō
2,2. del-,ai.,dōlayati,"schwingt, wirbelt auf",,,"swings, whirls up",
3,2. del-,ai.,dōlita-,"schwankend, in Schwingung versetzt",,,"swaying, set in motion",
4,2. del-,lit.,del̃sti,"säumen, zögern",,,"hesitate, linger",
5,2. del-,lit.,dulinė́ti,"schlendern, faulenzen",,,"strolling, lounging",
6,2. del-,ai.,duḍi,eine kleinere Schildkröte ('watschelnd'),mit d-Erw. unsicher (?),unsicher,a smaller turtle ('waddling'),uncertain with regard to the derived form (?)
7,2. del-,ags.,tealt,"unsicher, schwankend",mit d-Erw. unsicher (?),,"uncertain, wavering",uncertain with regard to the derived form (?)
8,2. del-,ags.,tealt(r)ian,"schwanken, wackeln, unsicher sein",mit d-Erw. unsicher (?),,"waver, wobble, be uncertain",uncertain with regard to the derived form (?)
9,2. del-,engl.,tilt,vornüberfallen,mit d-Erw. unsicher (?),,to fall forward,uncertain with regard to the derived form (?)
10,2. del-,mndl.,touteren,"wanken, wackeln, schaukeln",mit d-Erw. unsicher (?),,"wobble, sway, rock",uncertain with regard to the derived form (?)
11,2. del-,norw.,tylta,"leise, wie auf Zehen, treten",mit d-Erw. unsicher (?),,"step quietly, as if on tiptoe",uncertain with regard to the derived form (?)
12,2. del-,schwed.,tulta,"mit kleinen, unsicheren Schritten gehen, wie Kinder",mit d-Erw. unsicher (?),,"walk with small, uncertain steps, like children",uncertain with regard to the derived form (?)
13,2. del-,ahd.,zeltāri,Paßgänger,mit t-Erweiterung,,Pedestrian,with t-extension
14,2. del-,mhd.,zelter,Paßgänger,mit t-Erweiterung,,Pedestrian,with t-extension
15,2. del-,md.,zelder,Paßgänger,mit t-Erweiterung,,Pedestrian,with t-extension
16,2. del-,nhd.,Zelter,Paßgänger,mit t-Erweiterung,,Pedestrian,with t-extension
17,2. del-,anord.,tjaldari,Paßgänger,"mit t-Erweiterung; Einfluß von lat. tolūtārius 'Paßgänger'; vgl. isl. tölt 'im Paß, im Schritt gehen' aus *talutōn;",,Pedestrian,"with t-extension; influence of Latin tolūtārius 'passerby'; cf. Icelandic tölt 'going in a pass, walking' from *talutōn."
18,2. del-,anord.,tjaldr,"Haematopus ostralegus, Austernfischer ('der Stapfer')",das Verhältnis zu dem von Plinius erwähnten span. Worte thieldones 'Paßgänger' ist unklar,,"Haematopus ostralegus, Eurasian oystercatcher ('the stepper')",the relationship to the Spanish word thieldones mentioned by Pliny 'passersby' is unclear
19,2. del-,anord.,tolla,lose hangen,"aber eher mit -ll- aus -ln-. Vgl. Falk-Torp u. kjeld, tulle",,to hang loosely,"but rather with -ll- from -ln-. Cf. Falk-Torp and kjeld, tulle"
20,2. del-,anord.,tyllast,trippeln,"aber eher mit -ll- aus -ln-. Vgl. Falk-Torp u. kjeld, tulle",,tiptoe,"but rather with -ll- from -ln-. Cf. Falk-Torp and kjeld, tulle"
0,demel-,Epidaur.,δεμελέας,βδέλλαι,Hes. f. Akk. Pl.,,Disgust,Hes. f. Acc. Pl.
1,demel-,Epidaur.,δεμβλεῖς,βδέλλαι,Hes.,,Disgust,Hes. [UNKNOWN]
2,demel-,alb.,dhemjë,Raupe,(kann für *dhemli̯ë stehen),vielleicht,Caterpillar,(kann für *dhemli̯ë stehen)
3,demel-,alb.,dhëmíze,Fleischmade,,,Flesh maggots,
3,demel-,alb.,dhimízë,Fleischmade,,,Flesh maggots,
0,"des-, dēs-",gr.,δήω,werde finden,futur. gebrauchtes Präsens,,will find,futur. used present tense
1,"des-, dēs-",gr.,ἔδηεν,εὖρεν,Hes.,,He found.,Hes. [UNKNOWN]
2,"des-, dēs-",alb.,ndesh,antreffen,,,encounter,
3,"des-, dēs-",alb.,ndieh,befinde mich,*des-sk̂ō,,I am,*des-sk̂ō [UNKNOWN]
4,"des-, dēs-",alb.,ndesh,antreffen,s. auch oben S. 190,,encounter,see also above p. 190
5,"des-, dēs-",aksl.,dešǫ,finden,vielleicht,,find,maybe
6,"des-, dēs-",aksl.,desiti,finden,vielleicht,,find,maybe
7,"des-, dēs-",russ.-ksl.,dositi,"finden, begegnen","ablaut., falls nicht zu dek̂-, udositi",,"find, encounter","ablaut., falls nicht zu dek̂-, udositi [UNKNOWN]"
8,"des-, dēs-",ai.,abhi-dāsati,"feindet an, befehdet","eher Denomin. von dāsá-ḥ 'Sklave, Feind'",,"begin to make enemies, engage in conflict","rather denom. from dāsá-ḥ 'slave, enemy'"
0,deup- : kteup-?,gr. hom.,δοῦπος,"dumpfes Geräusch, Getöse; Schall der Fußtritte",,,"dull noise, uproar; sound of footsteps",
1,deup- : kteup-?,gr. hom.,δουπέω,gehe einen dumpfen oder rasselnden Ton von mir,,,I emit a dull or rattling sound,
2,deup- : kteup-?,gr. hom.,ἐγδούπησαν,laut donnernd,"der in zutage tretende ursprüngliche Anlaut γδ- ist vielleicht mit κτύπος 'Schlag' neben τύπος parallel oder ihm nachgebildet, so daß über sein Alter keine Sicherheit zu erlangenist; nach Schwyzer wäre (γ)δουπέω Intensiv zu schwachstufigem κτυπ-",,thundering loudly,"the original initial sound γδ- that emerges may be parallel or imitated from κτύπος 'blow' alongside τύπος, so that no certainty can be obtained about its age; according to Schwyzer, (γ)δουπέω would be an intensive form related to the weak grade κτυπ-"
2,deup- : kteup-?,gr. hom.,ἐρίγδουπος,laut donnernd,"der in zutage tretende ursprüngliche Anlaut γδ- ist vielleicht mit κτύπος 'Schlag' neben τύπος parallel oder ihm nachgebildet, so daß über sein Alter keine Sicherheit zu erlangenist; nach Schwyzer wäre (γ)δουπέω Intensiv zu schwachstufigem κτυπ-",,thundering loudly,"the original initial sound γδ- that emerges may be parallel or imitated from κτύπος 'blow' alongside τύπος, so that no certainty can be obtained about its age; according to Schwyzer, (γ)δουπέω would be an intensive form related to the weak grade κτυπ-"
,deup- : kteup-?,gr.,μασίγδουπον,... μεγαλόηχον,Hes.,,... loud,Hes. [UNKNOWN]
3,deup- : kteup-?,serb.,"dȕpīm, dȕpiti",mit Getöse schlagen,,,to beat with a loud noise,
4,deup- : kteup-?,sloven.,"dûpam, dupljem, dúpati","auf etwas Hohles schlagen, dumpf rauschen",,,"to strike something hollow, dullly rustle",
5,deup- : kteup-?,sloven.,dupotáti,(onomotopoeic: dull thud),,,(onomatopoetic: dull thud),
6,deup- : kteup-?,bulg.,dúp\'\ъ,gebe einem Roß die Sporen,,,give a horse the spurs,
7,deup- : kteup-?,lett.,dupêtiês,dumpf schallen,bsl. d- aus gd-? oder älter als gr. γδ-?,,sound dull,bsl. d- from gd-? or older than gr. γδ-?
8,deup- : kteup-?,toch. A,täp-,"ertönen lassen, verkünden","*tup- im Infin. tpässi, Partiz. Pass, cacpu. nach Van Windekens Lexique 138 hierher",,"sound, announce","*tup- in infinitive tpässi, past participle passive, cacpu. according to Van Windekens Lexique 138 here"
,,,,,,,,
,,,,,,,,
,,,,,,,,
0,"dī̆p-ro-, dī̆p-erā",arm.,tvar,"Schafbock, Herde von Großvieh",*tivar < *dī̆p↓↓e↓↓rā,,"Ram, herd of cattle.",*tivar < *dī̆p↓↓e↓↓rā [UNKNOWN]
1,"dī̆p-ro-, dī̆p-erā",got.,tibr,Opfergabe,(verbessert aus aibr),,Sacrificial offering,(improved from aibr)
2,"dī̆p-ro-, dī̆p-erā",ahd.,zebar,Opfertier,,,Sacrificial animal,
3,"dī̆p-ro-, dī̆p-erā",ags.,tīfer,Opfertier,,,Sacrificial animal,
4,"dī̆p-ro-, dī̆p-erā",ags.,tīber,Opfertier,,,Sacrificial animal,
5,"dī̆p-ro-, dī̆p-erā",mhd.,ungezī̆bere,"unreines, nicht zum Opfern taugliches Tier",spätmhd.,,"impure, unfit for sacrifice animal",Late Middle High German
6,"dī̆p-ro-, dī̆p-erā",mhd.,unzī̆ver,"unreines, nicht zum Opfern taugliches Tier",spätmhd.,,"impure, unfit for sacrifice animal",Late Middle High German
7,"dī̆p-ro-, dī̆p-erā",nhd.,Ungeziefer,"unreines, nicht zum Opfern taugliches Tier",,,"impure, unfit for sacrifice animal",
8,"dī̆p-ro-, dī̆p-erā",afrz.,(a)toivre,Zugtier,stammt aus dem Germ.,,Draught animal or beast of burden,comes from the Germ.
0,dous-,ai.,dóṣ-,"Vorderarm, Arm, unterer Teil des Vorderfußes bei Tieren'",Gen. doṣṇáḥ,,"Forearm, arm, lower part of the forefoot in animals",Gen. doṣṇáḥ [UNKNOWN]
1,dous-,av.,daoš-,"Oberarm, Schulter'",,,"Upper arm, shoulder",
2,dous-,npers.,dōš,Schulter',,,Shoulder,
3,dous-,air.,doë,Arm',"*dous-n̥t-s, Gen. doat'",,Arm,"*dous-n̥t-s, Gen. doat' [UNKNOWN]"
,,,,,,,,
5,dous-,lett.,pa-duse,Achselhöhle; Busen des Kleides',tiefstufig,,Armpit; bosom of the dress.,deep-level
6,dous-,sloven.,pâzduha,Achselhöhle',,,Armpit,
7,dous-,sloven.,pâzdiha,Achselhöhle',,,Armpit,
8,dous-,sloven.,pâzuha,Achselhöhle',mit demselben d-Verlust (ein Erklärungsversuch bei Berneker 233 f.),,Armpit,with the same loss of d (an attempt to explain it in Berneker 233 f.)
9,dous-,sloven.,pâziha,Achselhöhle',mit demselben d-Verlust (ein Erklärungsversuch bei Berneker 233 f.),,Armpit,with the same loss of d (an attempt to explain it in Berneker 233 f.)
10,dous-,abg.,pazucha,κόλπος',usw.,,bosom,etc.
0,dreg̑h-,got.,trigo,"Trauer, Widerwille",,,"Grief, reluctance",
1,dreg̑h-,anord.,tregi,"Trauer, Hindernis",m.,,"Grief, Obstacle",m.
2,dreg̑h-,anord.,tregr,"unwillig, ungeneigt",,,"unwilling, disinclined",
3,dreg̑h-,anord.,treginn,betrübt,,,saddened,
4,dreg̑h-,ags.,trega,"Trauer, Leiden",m.,,"Grief, suffering",m.
5,dreg̑h-,as.,trego,Schmerz,m.,,Pain,m.
6,dreg̑h-,as.,tregan,leid sein,nur Inf. mit Dat.,,to be fed up,only inf. with dat.
7,dreg̑h-,mndl.,tregen,den Mut verlieren,,,lose courage.,
8,dreg̑h-,anord.,trega,betrüben,/= ags. tregian,,to sadden,/= ags. tregian [UNKNOWN]
9,dreg̑h-,norw. mdartl.,treg,"ausdauernd, fest","mit einer wohl alten konkreten Bed. 'zähe, zähe haftend'",,"enduring, firm","with a probably old concrete meaning 'tough, tough adhering'"
10,dreg̑h-,norw. mdartl.,trege,"zähe Faser, Sehne, harte Haut",,,"tough fiber, tendon, hard skin",
11,dreg̑h-,schwed.,trägen,unermüdlich,,,tireless,
12,dreg̑h-,ahd.,trāgi,"träge, langsam, verdrossen",dehnstufig,,"sluggish, slow, dispirited",compensatory lengthening
13,dreg̑h-,as.,trāg,schlecht,,,bad,
14,dreg̑h-,ags.,trāg,"Leiden, Übel",f.,,"Suffering, evil",f. [UNKNOWN]
15,dreg̑h-,as.,trāgī,"Trägheit, Verdruß",f.,,"Inertia, annoyance",f. [UNKNOWN]
15,dreg̑h-,ahd.,trāgī,"Trägheit, Verdruß",f.,,"Inertia, annoyance",f. [UNKNOWN]
16,dreg̑h-,lit.,"dryž-tù, drižaũ, drìžti","matt, schlaff werden",Būga Kalba ir. s. 219,,"becoming dull, becoming limp",Būga Kalba is. p. 219 [UNKNOWN]
17,dreg̑h-,lit.,drìžinti,schlaff machen,zum lit. ri vgl. Hirt Idg. Gr. II 83,,to make tired,for the literal comparison see Hirt Idg. Gr. II 83
,,,,,,,,
0,dheregh-,ai.,drākṣā,Weintraube,,,Grape,
1,dheregh-,gallorom.,*dragenos,Dorn,(kelt. *drageno- aus *dhr↓↓e↓↓gh-),,Thorn,(Celtic *drageno- from *dhr↓↓e↓↓gh-) [UNKNOWN]
2,dheregh-,air.,draigen,Schlehdorn,m.,,Blackthorn,m.
3,dheregh-,cymr.,draen,Dornstrauch,m.,,Thorn bush,m.
4,dheregh-,nbret.,dréan,Dornstrauch,,,Thorn bush,
5,dheregh-,ahd.,tirn-pauma,cornea silva,,"vielleicht; general comment for Germanic and Slavic forms: ""Germ.-sl. Grundf. kann *dherghno- sein und stünde dem freilich in seiner Bed. `Schößling, Zweig'""",forest heart,
6,dheregh-,ahd.,tyrn,cornus,,vielleicht,cornus,
7,dheregh-,ahd.,dirnbaum,cornus,,vielleicht,cornus,
8,dheregh-,nhd.,"di(e)rle, dirnlein",Kornelkirsche,dial.,vielleicht,Cornelian cherry,dial.
9,dheregh-,schweiz.,tierli,Kornelkirsche,falls nicht aus dem Slav. in sehralter Zeit entlehnt,vielleicht,Cornelian cherry,if not borrowed from Slavic in ancient times
10,dheregh-,lit.,drìgnės,schwarzes Bilsenkraut,"Pl., falls nicht aus dem Slav. entlehnt",,black henbane,"Pl., if not borrowed from Slavic"
11,dheregh-,lett.,driǵenes,schwarzes Bilsenkraut,"vgl. Mühlenbach-Endzelin I 498, falls nicht aus dem Slav. entlehnt",,black henbane,"cf. Mühlenbach-Endzelin I 498, unless borrowed from Slavic"
12,dheregh-,russ.,"déren, derén","Hartriegel, Kornelkirsche",,,"Dogwood, Cornelian cherry",
13,dheregh-,skr.,drȉjen,"Hartriegel, Kornelkirsche",,,"Dogwood, Cornelian cherry",
14,dheregh-,čech.,dřín,"Hartriegel, Kornelkirsche",,,"Dogwood, Cornelian cherry",
15,dheregh-,poln.,drzon,Berberitze,(alt),,Barberry,"(alt)"" [UNKNOWN]"
16,dheregh-,kaschub.,dřòn,Dornen,,,Thorns,
17,dheregh-,polab.,dren,Dorn,,,Thorn,
18,dheregh-,gr.,τρέχνος,junges Gebüsch,"Hes., anthol.",,young shrubbery,"Hes., anthol. [UNKNOWN]"
19,dheregh-,gr.,τέρχνος,junges Gebüsch,Maximus,,young shrubbery,Maximus
20,dheregh-,kypr.,τὰ τέρχνιjα,junges Gebüsch,,,young shrubbery,
0,3. dheu-,ai.,dhavalá,glänzend weiß,,,shiny white,
1,3. dheu-,ai.,dhā́vati,"macht blank, reinigt, spült",,,"polish, clean, rinse",
2,3. dheu-,av.,fraδavata,rieb sich (reinigend) ab,,,rubbed off (cleansing),
3,3. dheu-,gr.,θοός,λαμπρός,Hes.,,brilliant,Hes. [UNKNOWN]
4,3. dheu-,gr.,θοῶσαι,λαμπρῦναι,Hes.,,to shine,Hes. [UNKNOWN]
5,3. dheu-,gr.,ὀδόντες λευκὰ θέοντες,to shine brightly,Ps.-Hsd.,,English translation,Ps.-Hsd. [UNKNOWN]
6,3. dheu-,gr.,θαλέιον,καθαρόν. καὶ θωλέον,Hes. (Kontr. aus *θοϝαλέος).,,Pure. And domed.,Hes. (Kontr. from *θοϝαλέος).
0,"dhlas-, or dhels- : dhl̥s-",ai.,dhr̥ṣád,Mahlstein,,,Grinding stone,
1,"dhlas-, or dhels- : dhl̥s-",gr.,θλάω,"zerquetsche, zermalme","idg. *dhlas-ō oder *dhl̥sō; ἐθλάσθην, θλαστός",,"crush, pulverize","idg. *dhlas-ō or *dhl̥sō; ἐθλάσθην, θλαστός [UNKNOWN]"
,,,,,,,,
,,,,,,,,
4,"dhlas-, or dhels- : dhl̥s-",čech.,dlasmati,drücken,*dhlās-mo- oder *dhols-mo-,,to press,*dhlās-mo- or *dhols-mo- [UNKNOWN]
5,"dhlas-, or dhels- : dhl̥s-",gr.,φλάω,"to press, squeeze; squash?","θλάω' ist Kreuzung von θλάω mit φλί̄βω, wie andrerseits φλί̄βω durch Kreuzung mit θλάω auch zu θλί̄βω umgestaltet ist.",,"to press, squeeze; squash?","θλάω' is a cross between θλάω and φλί̄βω, just as φλί̄βω is also transformed into θλί̄βω through a cross with θλάω."
0,dhō-,ai.,dhā́rā,"Schneide, Schärfe, Klinge",,,"Edge, sharpness, blade",
1,dhō-,av.,dārā,"Schneide, Schärfe, Klinge",,,"Edge, sharpness, blade",
2,dhō-,av.,tižidāra-,mit scharfer Schneide,,,with a sharp edge,
3,dhō-,gr.,θοός,"scharf, spitz",,,"sharp, pointed",
4,dhō-,gr.,ἐθόωσα,"ich schärfte, spitzte","*θο-Fός u̯o-Partiz., wie z. B. *δα-Fός 'zerschnitten' in δαΐζω; für *dhə- zum o vgl. δοτός: δω-",,"I sharpened, sharpened","*θο-Fός u̯o-Partic., such as *δα-Fός 'cut' in δαΐζω; for *dhə- to o compare δοτός: δω- [UNKNOWN]."
5,dhō-,ags.,daroð,"Spieß, Wurfspieß",auf Grund eines *dhə-ro- 'gespitzt' (: ai. dhā-rā),,"Spear, throwing spear",due to a *dhə-ro- 'sharpened' (: ai. dhā-rā)
6,dhō-,ahd.,tart,Spieß,auf Grund eines *dhə-ro- 'gespitzt' (: ai. dhā-rā),,Skewer,due to a *dhə-ro- 'sharpened' (: ai. dhā-rā)
