,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
35,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",bulg.,mrъzel,Faulheit,,,Laziness,
36,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",aksl.,mrъzitь,βδελύττεσθαι,\*miržīti\,,To be disgusted,*mīržīti* [UNKNOWN]
37,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",slov.,mrziti,ekeln,Basis \*merəĝ-\,,disgust,Basis *merəĝ- [UNKNOWN]
38,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",ahd.,bruoh,"Moorboden, Sumpf",,,"Peat soil, swamp",
39,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",mnd.,brōk,"Moorboden, Sumpf",,not sure about meaning,"Peat soil, swamp",
40,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",ndl.,broek,"Moorboden, Sumpf",,not sure about meaning,"Peat soil, swamp",
41,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",aksl.,po-mrъznǫti,frieren,damit ist als `Kälte infolge Nässe' oder als `Gänsehaut' (vgl. air. \meirc\ `Runzel') identisch,,to freeze/shiver,"It is identical to ""cold due to wetness"" or ""goosebumps"" (cf. Irish \meirc\ ""wrinkle"")"
42,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",aksl.,mrazъ,Frost,,,Frost,
43,"merk-1, merĝ-, merək-, merəĝ-","1. merk-, merg̑-, merək-, merəg̑-",russ.,moróz,Frost,Intonation der schweren Basis,,Frost,Intonation of the heavy base
0,"merk-2, mork-","2. merk-, mork-",Corn.,moreth,"Ärger, Kummer",,,"Anger, sorrow",
1,"merk-2, mork-","2. merk-, mork-",bret.,morc'het,"souci, malheur",,,"worry, misfortune",
2,"merk-2, mork-","2. merk-, mork-",poln.,markotь,"Brummen, Knurren",,,"Humming, growling",
3,"merk-2, mork-","2. merk-, mork-",poln.,markotny,"verdrossen, verdrießlich",,,"disgruntled, annoyed",
4,"merk-2, mork-","2. merk-, mork-",lit.,markatnus,verdrießlich,from pol. \markotny\,,gloomy,from pol. \markotny\ [UNKNOWN]
5,"merk-2, mork-","2. merk-, mork-",wruss.,markocić,verdrießlich machen,from pol. \markotny\,,to annoy or upset,from pol. \markotny\ [UNKNOWN]
6,"merk-2, mork-","2. merk-, mork-",wruss.,markotný,langweilig,from pol. \markotny\,,boring,from pol. \markotny\ [UNKNOWN]
0,meug-1,1. meug-,lat.,muger,der Falschspieler beim Würfelspiel,\*mug-ro-s\ 'lauernd',,the cheater in the dice game,\*mug-ro-s\ 'lurking'
1,meug-1,1. meug-,ahd.,mūhhari,"Wegelagerer, Straßenräuber",,,"Highwaymen, bandits",
2,meug-1,1. meug-,ahd.,mūhh(e)o,"Wegelagerer, Straßenräuber",,,"Highwaymen, bandits",
3,meug-1,1. meug-,ahd.,muhhōn,"heimlich lauern, anfallen",,,"lurk secretly, attack",
4,meug-1,1. meug-,mhd.,vermūchen,heimlich auf die Seite schaffen,,,secretly bring to one side.,
5,meug-1,1. meug-,ahd.,mūhhilāri,"to lie in wait, take by surprise; wily",spät-ahd.; zu \*mūchilōn\,,"to lie in wait, take by surprise; cunning",spät-ahd.; zu *mūchilōn [UNKNOWN]
6,meug-1,1. meug-,nhd.,Meuchler,Meuchler,,,Assassin,
7,meug-1,1. meug-,mhd.,miuchel,heimlich,,,secret,
8,meug-1,1. meug-,ahd.,mūh-heimo,Grille,,,Grill,
9,meug-1,1. meug-,mhd.,mocken,versteckt liegen,ablaut.,,hidden,ablaut. [UNKNOWN]
10,meug-1,1. meug-,mengl.,micher,Dieb,,,Thief,
11,meug-1,1. meug-,engl.,to mich,"versteckt sein, stehlen",dial.,,"to be hidden, to steal",dial.
0,meuk̂-,meuk̑-,gr.,ἀμυκάλαι,"αἱ ἀκίδες τῶν βελῶν, παρὰ τὸ ἀμύσσειν",Hes.,,"The barbs of arrows, for piercing.",Hes. [UNKNOWN]
1,meuk̂-,meuk̑-,gr.,ἀμύσσω,"ritze, zerkratze",,,"cut, scratched",
2,meuk̂-,meuk̑-,att. gr.,ἀμύττω,"ritze, zerkratze",,,"cut, scratched",
3,meuk̂-,meuk̑-,gr.,ἅ̓μυχή,"Riß, Schramme",,"errors in the Greek - two accents, two rough breathing","Tear, scrape",
4,meuk̂-,meuk̑-,lat.,mucrō,"scharfe Spitze, Speer, Schwert",,,"sharp tip, spear, sword",
5,meuk̂-,meuk̑-,ags.,ge-myscan,"plagen, entstellen",vielleicht; *muhskjan,,"plague, disfigure",vielleicht; *muhskjan [UNKNOWN]
6,meuk̂-,meuk̑-,lit.,mùšti,schlagen,,,to hit/beat,
7,meuk̂-,meuk̑-,ai.,muṣtí,Faust,"f.,",,Fist,f. [UNKNOWN]
8,meuk̂-,meuk̑-,av.,mušti-,Faust,,,Fist,
0,moiso-s oder maiso-s,"moiso-s, or maiso-s",ai.,mēšá-,Widder,m.,,Aries,m.
1,moiso-s oder maiso-s,"moiso-s, or maiso-s",ai.,mēṣī-,Schaffell,,,Sheepskin,
2,moiso-s oder maiso-s,"moiso-s, or maiso-s",av.,maēša-,"Widder, Schaf",,,"Ram, Sheep",
3,moiso-s oder maiso-s,"moiso-s, or maiso-s",aisl.,meiss,Korb,m.,,Basket,m.
4,moiso-s oder maiso-s,"moiso-s, or maiso-s",ahd.,meis(s)a,Gepäck,,,Luggage,
5,moiso-s oder maiso-s,"moiso-s, or maiso-s",mnd.,mēse,Tonne,,,Ton,
6,moiso-s oder maiso-s,"moiso-s, or maiso-s",abg.,měchъ,Schlauch,,,Hose,
7,moiso-s oder maiso-s,"moiso-s, or maiso-s",russ.,měch,"Fell, Schlauch; Sack",,,"Fur, hose; sack",
8,moiso-s oder maiso-s,"moiso-s, or maiso-s",lit.,"máišas, máiše",Heunetz u. dgl.,,,Hay net and the like.,
9,moiso-s oder maiso-s,"moiso-s, or maiso-s",lett.,"máiss, máikss",Sack,,,Sack,
10,moiso-s oder maiso-s,"moiso-s, or maiso-s",apr.,moasis,Blasebalg,,,Bellows,
0,mormo(ro)-,mormo(ro)-,gr.,μορμώ,Schreckgespenst,f.,,Bogeyman,f. [UNKNOWN]
1,mormo(ro)-,mormo(ro)-,gr.,μορμών,Schreckgespenst,f.,,Bogeyman,f. [UNKNOWN]
2,mormo(ro)-,mormo(ro)-,gr.,μόρμορος,Furcht,,,Fear,
3,mormo(ro)-,mormo(ro)-,gr.,μορμο-λυκεῖον,Schreckbild,,,Scary image,
4,mormo(ro)-,mormo(ro)-,gr.,μορμο-λύττομαι,setze in Furcht,,,set in fear,
5,mormo(ro)-,mormo(ro)-,gr.,μορμύνω,setze in Furcht,,,set in fear,
6,mormo(ro)-,mormo(ro)-,gr.,μύρμος,φόβος,Hes.,,fear,Hes. [UNKNOWN]
7,mormo(ro)-,mormo(ro)-,gr.,Μυρμιδόνες,das Volk der Schreckgespenster,,,the people of the scary ghosts,
8,mormo(ro)-,mormo(ro)-,lat.,formidō,"das Grausen, peinigende Furcht; bes. religiöse Ehrfurcht",\form-\ dissimilated from \*morm-\ (wie bei \formīca\ : μύρμηξ),,"the horror, tormenting fear; especially religious reverence",\form- dissimilated from \*morm- (as in \formīca\ : μύρμηξ)
,,,,,,,,,
0,mo[u]-lo- : mū-lo-,mo[u]-lo- : mū-lo-,ai.,mūla-,Wurzel,n.,,Root,n. [UNKNOWN]
1,mo[u]-lo- : mū-lo-,mo[u]-lo- : mū-lo-,ai.,mūla-karman-,Zauberei mit Wurzeln,n.,,Magic with Roots,n. [UNKNOWN]
2,mo[u]-lo- : mū-lo-,mo[u]-lo- : mū-lo-,gr.,μῶλυ,ein fabelhaftes Wunderkraut (Hom.); gelbblühende Knoblauchart (Theophr. Dioscor.) ,,,a fabulous miracle plant (Hom.); yellow-flowering garlic species (Theophr. Dioscor.),
3,mo[u]-lo- : mū-lo-,mo[u]-lo- : mū-lo-,gr.,μώλυζα,Knoblauchart,,,Garlic species,
0,mō[u]-ro-: mū-ro-,mō[u]-ro- : mū-ro-,ai.,mūrá-,"stumpfsinnig, blöde, dumm",,,"mindless, stupid, dumb",
1,mō[u]-ro-: mū-ro-,mō[u]-ro- : mū-ro-,gr.,μωρός,"dumm, töricht",,,"foolish, silly",
2,mō[u]-ro-: mū-ro-,mō[u]-ro- : mū-ro-,att.,μῶρος,"dumm, töricht",,,"foolish, silly",
3,mō[u]-ro-: mū-ro-,mō[u]-ro- : mū-ro-,lat.,mōrus,"närrisch, albern",from att. μῶρος,,"foolish, silly",from att. μῶρος [UNKNOWN]
0,mozĝho-s,mozg̑ho-s,arm.,mozi,"junges Rind, Kalb",,,"young cattle, calf",
1,mozĝho-s,mozg̑ho-s,gr.,μοσχίον,"junge Kuh, Mädchen",f.; Demin. zu μόσχος,,"young cow, girl",f.; Dimin. of μόσχος
2,mozĝho-s,mozg̑ho-s,gr.,μόσχος,"junger Stier, Kalb","wohl identisch mit μόσχος `Pflanzentrieb, Schößling'",,"young bull, calf","wohl identisch mit μόσχος `plant shoot, sprout'"
0,mū̆k-,mū̆k-,gr.,μύκων,σωρός θημών,Hes.,,Heap of wonders,Hes. [UNKNOWN]
1,mū̆k-,mū̆k-,vorgall.,*mukina,Steinhaufe,"(Jokl V. Rom. 8, 193)",,Pile of stones.,"(Jokl V. Rom. 8, 193)"" [UNKNOWN]"
2,mū̆k-,mū̆k-,aisl.,mūgi,"Haufen, Menge",,,"pile, quantity",
3,mū̆k-,mū̆k-,aisl.,mūgr,"Haufen, Menge",,,"pile, quantity",
4,mū̆k-,mū̆k-,ags.,mūga,(Korn-)Haufen,,,(Grain) pile,
5,mū̆k-,mū̆k-,ags.,mūha,(Korn-)Haufen,(auch \mūwa\),,(Grain) pile,(also \mūwa\)
6,mū̆k-,mū̆k-,schwed.,moa,zusammenhäufen,(\*mūhōn\),,heap together,(\*mūhōn\) [UNKNOWN]
7,mū̆k-,mū̆k-,ahd.,mū-werf,Maulwurf,,,Mole,
8,mū̆k-,mū̆k-,mnd.,mūke,"Auswuchs, Fußgeschwulst der Pferde",,,"Excrescence, hoof swelling in horses.",
9,mū̆k-,mū̆k-,ndl.,muik,"Auswuchs, Fußgeschwulst der Pferde",,,"Excrescence, hoof swelling in horses.",
10,mū̆k-,mū̆k-,mhd.,mūche,"Auswuchs, Fußgeschwulst der Pferde",,,"Excrescence, hoof swelling in horses.",
11,mū̆k-,mū̆k-,nhd.,Mauke,"Auswuchs, Fußgeschwulst der Pferde",(halb nd.); f.,,"Excrescence, hoof swelling in horses.",(half Low German); feminine.
12,mū̆k-,mū̆k-,bair.,Mauche,"Auswuchs, Fußgeschwulst der Pferde",(echt hochd.); bair.,,"Excrescence, hoof swelling in horses.",(echt hochd.); bair.
13,mū̆k-,mū̆k-,schweiz.,mauch,"Auswuchs an Rebholz, unordentlicher Haufe",m.,,"Growth on vine wood, messy pile",m.
14,mū̆k-,mū̆k-,norw.,mukka,"Haufen, Menge",dial.,,"pile, quantity",dial.
15,mū̆k-,mū̆k-,mhd.,mocke,"Klumpen, Brocken",m.; damit identisch ist mhd. \mocke\ `Zuchtsau',,"Lumps, chunks","m.; it is identical to Middle High German ""mocke"" `breeding sow'"
,,,,,,,,,
17,mū̆k-,mū̆k-,aisl.,mostr,große Menge,(\*muh-stra-\),,large quantity,(\*muh-stra-\) [UNKNOWN]
18,mū̆k-,mū̆k-,ags.,mēagol,"fest, stark","*'klumpig, massig'",,"sturdy, strong","klumpig, massig' [UNKNOWN]"
0,nā-2,2. nā-,air.,nār,bescheiden,\*nā-sro-\,,modest/humble,"\*nā-sro-\"" [UNKNOWN]"
1,nā-2,2. nā-,air.,ná(i)re,Scham,\*nā-srii̯ā\,,Shame,"\*nā-srii̯ā\"" [UNKNOWN]"
2,nā-2,2. nā-,hitt.,naḫ(ḫ)-,"fürchten, sichfürchten",,,"to fear, to be afraid",
3,nā-2,2. nā-,hitt.,naḫšarii̯a-,sich fürchten,,,to be afraid,
0,nāgʷh-,nāgu̯h-,arm.,naut'i,nüchtern,,,sober,
1,nāgʷh-,nāgu̯h-,gr.,vήφω,bin nüchtern,,,I am sober.,
2,nāgʷh-,nāgu̯h-,dor.,νά̄φω,bin nüchtern,,,I am sober.,
0,nak-,nak-,gr.,νάκος,"wolliges Fell, Vlies",n.,,"fluffy fur, fleece",n. [UNKNOWN]
1,nak-,nak-,gr.,νάκη,"wolliges Fell, Vlies",f.,,"fluffy fur, fleece",f. [UNKNOWN]
2,nak-,nak-,gr.,ἀρνακίς,Schaffell,f. (für *ἀρνο-νακίς),,Sheepskin,f. (for *ἀρνο-νακίς)
3,nak-,nak-,gr.,νακύ(δ)ριον,δέρμα,Hes.,,skin,Hes. [UNKNOWN]
4,nak-,nak-,ags.,næsc,weiches Leder wie z. B. Hirschleder,"\*nak-s-ko-\, \-kā\; vgl. den \-es-\St. νάκος",,soft leather such as deer leather,"\*nak-s-ko-, -kā\; compare with the \-es-\ stem νάκος"
5,nak-,nak-,apr.,nognan,Leder,"\*nāk-no-\, aus \*noknan\, n.",,Leather,*nāk-no-; from *noknan; neuter.
6,nak-,nak-,ai.,nā́ka-,Himmelsgewölbe,dazu nach E. Lewy,,Firmament,according to E. Lewy
0,nebh-1,1. nebh-,ai.,nábhatē,birst,,,bursts,
1,nebh-1,1. nebh-,aisl.,nǣfr,die äußere Birkenrinde,"als 'berstend, sich losschälend'",,the outer birch bark,"as 'bursting, peeling off'"
0,ned-2,2. ned-,ai.,nádati,"tönt, brüllt, rauscht",,,"sounds, roars, rushes",
1,ned-2,2. ned-,ai.,nada,"Brüller, Stier, Fluß",m.,,"Roar, bull, river",m.
2,ned-2,2. ned-,ai.,nadī́-,"Fluß, Flut",,,"River, flood",
3,ned-2,2. ned-,ai.,nadī-na,"to roar, sound, bellow",,,"zu brüllen, klingen, schreien",
4,ned-2,2. ned-,ai.,nadī-śa,Meer,,,Sea,
5,ned-2,2. ned-,av.,nad,schmähen,,,to revile/scorn,
6,ned-2,2. ned-,gr.,Νέδα,FlN (Arkad.),(illyr.),,FlN (arcade.),(Illyrian)
7,ned-2,2. ned-,gr.,Νέδων,FlN (Messen.),,,FlN (Temporary Exhibition),
8,ned-2,2. ned-,thrak.,Νέστος,FlN,from \*ned-to-\,,AI,"from \*ned-to-\"" [UNKNOWN]"
9,ned-2,2. ned-,illyr.,Νέστος,FlN (Dalm.),from \*ned-to-\,,Feline (Dalmatian),"from \*ned-to-\"" [UNKNOWN]"
0,nedo-,nedo-,ai.,nada,vermutlich 'Schilfrohr',m.,,probably 'reed',m.
1,nedo-,nedo-,npers.,nai,Schilf,dial.,,Reed,dial.
2,nedo-,nedo-,npers.,nad,Schilf,dial.,,Reed,dial.
3,nedo-,nedo-,arm.,net,Pfeil,,,Arrow,
4,nedo-,nedo-,lit.,néndrė,Schilfrohr,mit Nasal nach \leñkti\ 'biegen'?,,Reed stem,with nasal after \leñkti\ 'bending'?
5,nedo-,nedo-,lit.,léndrė,Schilfrohr,mit Nasal nach \leñkti\ 'biegen'?,,Reed stem,with nasal after \leñkti\ 'bending'?
6,nedo-,nedo-,lett.,našl̨i,Schilf,from \*nadslis\?,,Reed,from \*nadslis\? [UNKNOWN]
0,neĝh-,neg̑h-,mir.,ness,Wunde,\*neĝh-s-\,,Wound,"\*neĝh-s-\"" [UNKNOWN]"
1,neĝh-,neg̑h-,aksl.,vъ-nьzǫ,stecke hinein,,,stick it in,
2,neĝh-,neg̑h-,aksl.,vъ-nьznǫti,stecke hinein,infinitive,,stick it in,infinitive [UNKNOWN]
3,neĝh-,neg̑h-,russ.-ksl.,vъ-noziti,hineinstechen,causative,,to stab into,causative
4,neĝh-,neg̑h-,aksl.,nožь,Messer,,,Knife,
5,neĝh-,neg̑h-,ai.,ákṣu-,Stange,uncertain if belongs here; /*n̥ĝh-su-/?,,pole,uncertain if belongs here; /*n̥ĝh-su-/? [UNKNOWN]
0,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",ai.,náyati,führt,,,leads,
1,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",ai.,nītá-,led,Partiz.,,lead,Partisan.
2,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",av.,nayeiti,führt,,,leads,
3,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",mpers.,nītan,"führen, treiben",,,"lead, drive",
4,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",ai.,nīthā,"Führung, Weg",f.,,"Leadership, path",f. [UNKNOWN]
5,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",ai.,nītho,Führer,,,Leader or guide,
6,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",ai.,netā,Führer,,,Leader or guide,
7,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",ai.,nḗtar-,Führer,m.,,Leader or guide,m.
8,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",ai.,nētár-,Führer,m.,,Leader or guide,m.
9,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",ai.,nētrá-,"Führung, Auge",n.,,"Leadership, eye",n. [UNKNOWN]
10,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",mir.,nē,"Krieger, Held",\*neit-s\,,"Warrior, hero",*neit-s [UNKNOWN]
11,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",mir.,nīa,"Krieger, Held",\*neit-s\,,"Warrior, hero",*neit-s [UNKNOWN]
12,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",urir.,nētas,"Krieger, Held",genitive singular,,"Warrior, hero",Genitive singular
13,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",air.,nīath,"Krieger, Held",genitive singular; \*nei-t-os\; s. auch _nei-2_,,"Warrior, hero",genitive singular; \*nei-t-os\; see also _nei-2_
14,"nei-1, neiə- : nī-","1. nei-, neiə- : nī-",hitt.,nāi-,"lenken, führen",,,"direct, lead",
0,neid-1,1. neid-,ai.,nindati,"schmähen, tadeln, verachten",,,"revile, admonish, disdain",
1,neid-1,1. neid-,ai.,nidyá-tē,"schmähen, tadeln, verachten",passive,,"revile, admonish, disdain",passive
2,neid-1,1. neid-,ai.,anēdya-,nicht zu schmähen,,,not to be scorned,
3,neid-1,1. neid-,ai.,"nid-, nid́ā, nidā́, nindā́","Schmähung, Tadel, Verachtung",,,"Insult, criticism, contempt",
4,neid-1,1. neid-,av.,naēd-,schmähen,(\nāismī\),,to revile/scorn,(\nāismī\) [UNKNOWN]
,,,,,,,,,
6,neid-1,1. neid-,arm.,anicanem,fluche,,,curse,
7,neid-1,1. neid-,arm.,anēc,fluche,Aorist 3. Singular,,curse,Aorist 3rd Singular
8,neid-1,1. neid-,gr.,ὄνειδος,"Vorwurf, Schmach",,,"Accusation, disgrace",
9,neid-1,1. neid-,gr.,ὀνειδίζω,schmähe,"\o\-Präfix `be-schimpfe', wie auch arm. \anicanem\",,disgrace,"\o\-prefix `be-schimpfe', as well as poor. \anicanem\ [UNKNOWN]"
10,neid-1,1. neid-,got.,ga-naitjan,schmähen,,,to revile/scorn,
11,neid-1,1. neid-,got.,naiteins,Lästerung,,,Defamation,
12,neid-1,1. neid-,ahd.,neizzen,"quälen, plagen",,,"torment, plague",
,neid-1,1. neid-,ags.,nǣtan,"quälen, plagen",,,"torment, plague",
13,neid-1,1. neid-,lit.,niedėti,verachten,,,despise,
14,neid-1,1. neid-,lett.,nîst,verachten,,,despise,
15,neid-1,1. neid-,lett.,"naîds, naîdus","Haß, Feindschaft",,,"Hatred, enmity",
0,neid-2 : nid-,2. neid- : nid-,ai.,nēdati,"fließt, strömt",,,"flows, streams",
1,neid-2 : nid-,2. neid- : nid-,gall.,Nida,"FlN, Nidda und Nied",,,"FlN, Nidda, and Nied",
2,neid-2 : nid-,2. neid- : nid-,brit.,Nida,FlN,,,AI,
3,neid-2 : nid-,2. neid- : nid-,cymr.,Nedd,"FlN, Neath",,,"FlN, Neath",
4,neid-2 : nid-,2. neid- : nid-,poln.,Nida,FlN,vollstufig,,AI,fully-stage
5,neid-2 : nid-,2. neid- : nid-,lit.,Niedà,FlN,vollstufig,,AI,fully-stage
6,neid-2 : nid-,2. neid- : nid-,apr.,Nyda,"FlN, Neide",vollstufig,,"FlN, envy",fully-stage
0,neik-,neik-,gr.,λικμάω,handhabe die Getreideschwinge,,,handle the grain swing,
1,neik-,neik-,gr.,λικμητήρ,der das Getreide schwingt,,,the one who swings the grain,
2,neik-,neik-,gr.,"λικμός, λίκνον",Getreideschwinge,"diss. aus *νικμός, *νίκνον, vgl. νεῖκλον, νίκλον, νικᾷ · λικμᾷ Hes., wie auch ἰκμᾆν · λικμᾆν Hes. (oder Haplologie hinter ανᾱ ἀνικμώμεθα)",,Grain swing,"diss. from *νικμός, *νίκνον, compare νεῖκλον, νίκλον, νικᾷ · λικμᾷ Hes., as well as ἰκμᾆν · λικμᾆν Hes. (or haplology behind ανᾱ ἀνικμώμεθα)"
3,neik-,neik-,mir.,cruth-necht,roter Weizen,,,red wheat,
4,neik-,neik-,cymr.,nithio,worfeln,"auch wohl cymr. \gwenith\, bret. \gwiniz\, corn. \gwaneth\ 'Weizen'",,to play dice,"auch wohl cymr. \gwenith\, bret. \gwiniz\, corn. \gwaneth\ 'wheat'"
5,neik-,neik-,bret.,niza,worfeln,"auch wohl cymr. \gwenith\, bret. \gwiniz\, corn. \gwaneth\ 'Weizen'",,to play dice,"auch wohl cymr. \gwenith\, bret. \gwiniz\, corn. \gwaneth\ 'wheat'"
6,neik-,neik-,lit.,niekóti,Getreide durch Schwingen reinigen,,,Clean grain through shaking,
7,neik-,neik-,lett.,niekât,Getreide durch Schwingen reinigen,,,Clean grain through shaking,
8,neik-,neik-,lit.,liekúoti,Getreide durch Schwingen reinigen,das balt. l- läßt sich nicht durch Dissimil. erklären.,,Clean grain through shaking,the Baltic l- cannot be explained by dissimilation.
9,neik-,neik-,lett.,liekša,Worfschaufel,das balt. l- läßt sich nicht durch Dissimil. erklären.,,Throwing shovel,the Baltic l- cannot be explained by dissimilation.
0,ner-3,3. ner-,lit.,"neriù, nérti","(unter)tauchen, durchschwimmen, fliehen, einschlüpfen",,,"(to) dive, swim through, flee, slip into",
1,ner-3,3. ner-,lit.,nerìs,Biber,m.,,Beaver,m.
2,ner-3,3. ner-,lit.,nãras,Taucherente,m.,,Diving duck,m.
3,ner-3,3. ner-,lit.,narvà,Zelle der Bienenkönigin,,,Cell of the queen bee,
4,ner-3,3. ner-,lett.,"nìrt, nirdât",untertauchen,,,to go into hiding,
5,ner-3,3. ner-,aksl.,"nьrǫ, nrěti",eindringen,,,penetrate/invade,
6,ner-3,3. ner-,sloven.,po-ndrẹ́ti,untertauchen,,,to go into hiding,
7,ner-3,3. ner-,klr.,po-nerty,tauchen,,,diving,
8,ner-3,3. ner-,aksl.,nora,"φωλεός, latibulum",,,"nest, hiding place",
9,ner-3,3. ner-,russ.,norá,"Loch, Höhle, Grube",,,"Hole, cave, pit",
10,ner-3,3. ner-,aruss.,po-norovъ,Erdwurm,,,Earthworm,
11,ner-3,3. ner-,serb.,nòrac,Taucher,,,Diver,
,,,,,,,,,
13,ner-3,3. ner-,russ.-aksl.,nyrjati,se immergere,"auf einer Tiefstufe \*nъr-\ (\*n↓↓o↓↓r-\ zu idg. \*nor-\) beruht slav. \nyr-\, \nur-\",,immerse oneself,"slav. nyr-, nur- is based on a root form *nъr- (*n↓↓o↓↓r- to idg. *nor-)"
14,ner-3,3. ner-,russ.-aksl.,nura,janua,"auf einer Tiefstufe \*nъr-\ (\*n↓↓o↓↓r-\ zu idg. \*nor-\) beruht slav. \nyr-\, \nur-\",,door,"slav. nyr-, nur- is based on a root form *nъr- (*n↓↓o↓↓r- to idg. *nor-)"
15,ner-3,3. ner-,apr.,Narus,FlN,,,AI,
16,ner-3,3. ner-,lit.,Nar̃-upe,FlN,,,AI,
17,ner-3,3. ner-,illyr.,Νάρων,FlN 'Narenta',\= schott.-gael. \Abhainn Narunn\ 'Nairn',,FlN 'Narenta',\= schott.-gael. \Abhainn Narunn\ 'Nairn'
18,ner-3,3. ner-,lit.,"Nerìs, Nerỹs, Neretà",ON,,not sure about meaning,ON,
19,ner-3,3. ner-,apr.,Neria,Nehrung,,,Spit,
20,ner-3,3. ner-,russ.,Neretva,(zum Bug),,,(to the bow/front),
0,neu-dh-,neu-dh-,ahd.,niot,Begierde,,,Desire.,
1,neu-dh-,neu-dh-,mhd.,nietlīche,"mit Verlangen, mit Eifer",,,"with longing, with zeal",
2,neu-dh-,neu-dh-,nhd.,niedlich,niedlich,,,cute,
3,neu-dh-,neu-dh-,as.,niud,"Verlangen, Begier",m.,,"Desire, lust",m.
4,neu-dh-,neu-dh-,ags.,nīed,"Wunsch, Sehnsucht, Eifer",f.,,"Desire, longing, zeal",f. [UNKNOWN]
5,neu-dh-,neu-dh-,ags.,nēod,"Wunsch, Sehnsucht, Eifer",f.,,"Desire, longing, zeal",f. [UNKNOWN]
6,neu-dh-,neu-dh-,got.,Neudis,PN,\*Niudeis\,,Private message,"\*Niudeis\"" [UNKNOWN]"
,,,,,,,,,
8,neu-dh-,neu-dh-,lit.,pa-nústu,"wonach Gelüste haben, sich wonach sehnen",,,"to have cravings for, to long for",
9,neu-dh-,neu-dh-,lit.,pa-núdau,"wonach Gelüste haben, sich wonach sehnen",,,"to have cravings for, to long for",
10,neu-dh-,neu-dh-,lit.,pa-nústi,"wonach Gelüste haben, sich wonach sehnen",,,"to have cravings for, to long for",
0,neuk-,neuk-,lat.,nuscitiōsus,qui propter oculorum vitium parum videret,,,"who, due to a defect in his eyes, saw little",
1,neuk-,neuk-,lat.,luscus,blinzelnd; blödsichtig; einäugig,"mit \l-\ (nach \lux\, \lūcēre\?)",,blinking; visually impaired; one-eyed,"with \l-\ (according to \lux\, \lūcēre\?)"
2,neuk-,neuk-,lat.,luscīnus,geblendet,,,blinded,
3,neuk-,neuk-,lat.,lusciōsus,nachtblind,,,night blind,
4,neuk-,neuk-,lat.,luscītiōsus,nachtblind,,,night blind,
5,neuk-,neuk-,lit.,niūksóti,dunkel emporragen,,,rise darkly,
6,neuk-,neuk-,lit.,niūkiù,"dröhnen, dumpf tönen",,,"rumble, sound dull",
7,neuk-,neuk-,lit.,niũkti,"dröhnen, dumpf tönen",,,"rumble, sound dull",
8,neuk-,neuk-,lit.,apsi-niáukti,sich bewölken,,,to become cloudy,
9,neuk-,neuk-,lett.,apn̨auktiês,sich bewölken,,,to become cloudy,
0,n̥si-,n̥si-,ai.,ási-ta-,"dunkelfarbig, schwarz",,,"dark-colored, black",
1,n̥si-,n̥si-,ai.,ási-knī,"dunkelfarbig, schwarz",,,"dark-colored, black",
2,n̥si-,n̥si-,gr.,ἄσις,Schlamm (eines Flusses),,,mud (of a river),
3,n̥si-,n̥si-,gr.,ἄσιος,schlammig,,,muddy,
0,ō̆d(e)go-oder ō̆d(e)gʷo-,"ō̆d(e)go-, or ō̆d(e)gu̯o-",ai.,ádga-,"Rohrstab, Stengel",m.,,"Rod, stem",m.
1,ō̆d(e)go-oder ō̆d(e)gʷo-,"ō̆d(e)go-, or ō̆d(e)gu̯o-",lit.,uodegà,"Stengel, Stiel; Schwanz",,,"Stem, stalk; tail",
2,ō̆d(e)go-oder ō̆d(e)gʷo-,"ō̆d(e)go-, or ō̆d(e)gu̯o-",lett.,uodega,Schweif,,,Tail,
0,omə-,omə-,ai.,ámīti,"bedrängt, versichert eindringlich, schwört",,,"pressurized, assures intensely, swears",
