,web_root,root,abbr,reflex,meaning,notes
2,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",lit.,ùrbinti,mit dem Pfriemen ein Loch machen,
3,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",lit.,ur̃bti,bohren,lett. urbt
4,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",lit.,urbulis,"Pfriemen, Griffel",
5,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",lit.,ruõbti,aushöhlen,
6,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",lit.,ruobtùvas,Hohlmesser,
7,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",lett.,ruobs,"Kerbe, Einschnitt, Falz, Mangel, Zwistigkeit",
8,"ereb-, orob-, rōb-","ereb-, orob-, rōb-",idg.,"ereb-, orob-, rōb-","to drill, make holes, hollow out","Die Ablautverhältnisse sprechen für idg. Alter der Sippe, obwohl die Heranziehung von gr. ἄρβηλος 'rundes Schustermesser' und ἀρβύλη 'starker, den ganzen Fuß bedeckender Schuh' (wenn ursprünglich 'ausgehöhlter Holzschuh') ganz fraglich bleibt, da letztere auch auf einem Worte für 'Schuh' ganz anderer Herkunft fußen können."
0,ered-,ered-,ai.,"árdati, r̥dáti","fließt (in Kompositis), zerstiebt, löst sich auf; beunruhigt",
1,ered-,ered-,ai.,ardáyati,"macht fließen, löst auf, bedrängt, quält, tötet",
2,ered-,ered-,ai.,ārdrá,"feucht, naß",
3,ered-,ered-,ai.,r̥dū,Feuchtigkeit,
4,ered-,ered-,av.,arədvī-,"Name eines mythischen Flusses, meist als weibliche Gottheit gedacht",
5,ered-,ered-,gr.,ἄρδᾰ,Schmutz,
6,ered-,ered-,gr.,ἄρδαλος,schmutzig,
7,ered-,ered-,,̓Ηρίδανος,to flow away; dampness,aus iberisiert. *Errodanos
8,ered-,ered-,,Rednitz,to flow away; dampness,(Bayern) aus *Rodantia.
0,erek-1 (er[e]gh-),"1. erek-, er[e]gh-",ai.,likṣā́,"Nisse, Lausei",wohl aus *lakṣā́ durch Einfluß von likháti 'ritzt'
1,erek-1 (er[e]gh-),"1. erek-, er[e]gh-",lat.,ricinus,"ein sich in die Haut von Schafen, Hunden oder Rindvieh einbohrendes Ungeziefer, Zecke","unsicher ist die Zugehörigkeit von 2. 'eine Strauchart, Ricinus communis' kann auf älteres *recinos zurückgehen"
2,erek-1 (er[e]gh-),"1. erek-, er[e]gh-",lit.,érkė,"Zecke, Schaflaus",kann auf älteres *erki̯ā zurückgehen
3,erek-1 (er[e]gh-),"1. erek-, er[e]gh-",lett.,ẽrce,"Kuhmilbe, böse Person",unter idg. *erek- zusammengehören
4,erek-1 (er[e]gh-),"1. erek-, er[e]gh-",arm.,o(r)jil,"Nisse, Lausei",hier scheint eine Wurzelvariante er(e)gh- vorzuliegen
5,erek-1 (er[e]gh-),"1. erek-, er[e]gh-",arm.,ork'iun,"ringworm, itching, erysipelas","aus *orqii̯ōno- (?) mit einem-no-Suffix wie im Lat. nach Petersson KZ. 47, 263 f."
6,erek-1 (er[e]gh-),"1. erek-, er[e]gh-",alb.,ergjiz,kleine Laus,"s. G. Meyer Alb.Wb. 96; Zweifel bei Hermann KZ. 41, 48; doch kann der abweichende Guttural im Armen. und Alban. auf tabuierender Entstellung beruhen"
0,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",ai.,r̥kṇá-ḥ,"geschunden, kahlgerieben",
1,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",ai.,r̥kṣá-ḥ,kahl,
2,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",ai.,r̥kṣara-ḥ,"Spitze, Dorn",
3,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",lit.,j-ėrkà,Schlitz,
4,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",lit.,pra-j-ėrkà,Schlitz,
5,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",lett.,er̃cis,"to tear, cut, split",über lett. er̃cis 'Wacholder' usw. s. oben S. 67 f.
6,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",lit.,rankù,aufstochern,mit anderer Ablautstufe
7,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",lit.,ràkti,aufstochern,mit anderer Ablautstufe
8,"er(e)k-2, rek-, rok-","2. er(e)k-, rek-, rok-",lit.,rakštìs,"Splitter, Dorn","mit anderer Ablautstufe, usw."
0,eres-1,1. eres-,ai.,r̥ṣáti,"stößt, sticht",
1,eres-1,1. eres-,ai.,r̥ṣṭíṣ,Speer,
2,eres-1,1. eres-,av.,aršti,ds.,
3,eres-1,1. eres-,lit.,erśkė̃tis,Dornpflanze,vgl. oben S. 67
4,eres-1,1. eres-,sloven.,rệsək,Gänsedistel,
0,ereu-2,2. ereu-,ai.,aruṣ,Wunde,
1,ereu-2,2. ereu-,anord.,ørr,Narbe,"*arwaz, *arwiz"
2,ereu-2,2. ereu-,anord.,err,Narbe,"*arwaz, *arwiz"
3,ereu-2,2. ereu-,finn.,arpi,Narbe,"Gen. arven, als Lw. von anord. ørr, err"
4,ereu-2,2. ereu-,mnd.,are,Narbe,
5,ereu-2,2. ereu-,nhd.,arbe,Narbe,dialektisch
0,erkʷ-,erku̯-,ai.,árcati,"strahlt; lobsingt, begrüßt, ehrt",
1,erkʷ-,erku̯-,ai.,arká-,"Strahl, Blitzstrahl, Sonne, Feuer; Lied, Sänger",(= arm. erg)
2,erkʷ-,erku̯-,ai.,r̥c-,"Glanz; Gedicht, Vers",
3,erkʷ-,erku̯-,ai.,r̥k,"Glanz; Gedicht, Vers",Nom. Sg.
4,erkʷ-,erku̯-,ai.,r̥kvan-,"lobpreisend, jubelnd",
5,erkʷ-,erku̯-,arm.,erg,Lied,
6,erkʷ-,erku̯-,air.,erc,Himmel,
7,erkʷ-,erku̯-,mir.,suairc,"angenehm, schön, strahlend",(*su-erkʷis)
8,erkʷ-,erku̯-,toch. A,yärk,Verehrung,"(Pedersen REtIE. 3, 18)"
9,erkʷ-,erku̯-,toch. В,yarke,Verehrung,"(Pedersen REtIE. 3, 18)"
10,erkʷ-,erku̯-,hitt.,ar-ku-u̯a-nu-un,ich betete,(arku̯anun); anders Hendriksen 45 und 74.
0,et(e)n-,et(e)n-,gr.,ἔτνος,Brei von Hülsenfrüchten,
1,et(e)n-,et(e)n-,mir.,eitne,Кеrn,"das unlenierte stimmlose -t- zwischen Vokalen ist jedoch rätselhaft, da es nur auf -tt- zurückgehen kann"
2,et(e)n-,et(e)n-,schott.-gäl.,eite,unhusked ear of corn,
3,et(e)n-,et(e)n-,schott.-gäl.,eitean,"Kern, Korn",
0,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,ai.,api-vátati,"versteht, begreift",
1,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,ai.,api-vātáyati,"regt geistig an, macht verstehen",Kausativum
2,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,av.,aipi-vataiti,ist mit einer Sache vertraut,
3,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,av.,aipiča aotāt̃,sie begreife,"Konjunktiv, *eut-"
4,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lit.,jaučiù,fühlen,*euti̯ō
5,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lit.,"jaučiaũ, jaũsti",fühlen,
6,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lett.,"jaušu, jautu, jaust",fühlen,
7,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lit.,jaũsmas,Gefühl,maskulinum
8,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lit.,jautrùs,"gefühlvoll, zart",
9,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lit.,jáutotis,forschend fragen,Iterat.
10,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lit.,"juntù, jutãu, jùsti",fühlen,im Ablaut (idg. u)
11,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lett.,"jùtu, jutu, just",fühlen,das selbe
12,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lett.,j-Vorschlag,,Endzelin Lett. Gr. p. 30c
13,"eu-3, mit Präsensformans -et- : u̯et-, ut-",3. eu-,lett.,Reduplikation,,"Specht KZ. 68, 55^^1^^"
0,eu-4,4. eu-,gr.,εὐάζω,'juble',
1,eu-4,4. eu-,gr.,ευ<S-0183c0>α,Ausrufe bacchantischer Lust,
2,eu-4,4. eu-,gr.,εὐαί,Ausrufe bacchantischer Lust,
3,eu-4,4. eu-,gr.,εὐοῖ,Ausrufe bacchantischer Lust,
4,eu-4,4. eu-,lat.,ovō,"'frohlocken, jubeln; einen siegreichen Einzug halten'",(*eu̯āi̯ō)
5,eu-4,4. eu-,lat.,-āre,"'frohlocken, jubeln; einen siegreichen Einzug halten'",(*eu̯āi̯ō)
6,eu-4,4. eu-,vgl.,u-,in Schallworten,
0,ĝā̆b-,g̑ā̆b-,aisl.,kōpa,"starren, gaffen",
1,ĝā̆b-,g̑ā̆b-,ags.,cǣpan,"beobachten, ausschauen nach, sorgen für, schützen",
2,ĝā̆b-,g̑ā̆b-,ags.,capian up,aufblicken,ablautend
3,ĝā̆b-,g̑ā̆b-,asächs.,upcapen,eminere,
4,ĝā̆b-,g̑ā̆b-,mnd.,kapen,"gaffen, schauen",
5,ĝā̆b-,g̑ā̆b-,mhd.,kaffen,das selbe,
6,ĝā̆b-,g̑ā̆b-,ahd.,kapfēn,"schauen, spähen",mit Intensivgemination
7,ĝā̆b-,g̑ā̆b-,ahd.,kapf,"Ort, von dem manausschaut, Gipfel",daraus rückgebildet
8,ĝā̆b-,g̑ā̆b-,ahd.,ūfkepfen,aufschauen,
9,ĝā̆b-,g̑ā̆b-,russ.,zabota,Sorge,
10,ĝā̆b-,g̑ā̆b-,russ.,zabotit ь śa,"sich sorgen machen, sich bekümmern",
0,gan(dh)-,gan(dh)-,mir.,gann,Gefäß,"sehr unsicher belegt: Stokes BB. 19, 82"
1,gan(dh)-,gan(dh)-,aisl.,kani,"Henkelgefäß, Schüssel (poet.)",
2,gan(dh)-,gan(dh)-,norw. dial.,kane,Henkelschale,
3,gan(dh)-,gan(dh)-,schwed. dial.,kana,Schlitten,
4,gan(dh)-,gan(dh)-,dän.,kane,"Schlitten, älter dän. auch 'Boot'",
5,gan(dh)-,gan(dh)-,mnd.,kane,Boot,woraus aschwed. kani 'Boot'
6,gan(dh)-,gan(dh)-,ndl.,kaan,"kleines Boot, Kahn","aus dem Ndd. stammt auch nhd. Kahn, s. Kluge EWb. s. v., v. Bahder, Wortwahl 30"
7,gan(dh)-,gan(dh)-,aisl.,kǣna,Art Boot,
8,gan(dh)-,gan(dh)-,anord.,kanna,Kanne,dazu weiter(< *gandhnā)
9,gan(dh)-,gan(dh)-,aschw.,kanna,Kanne,dazu weiter(< *gandhnā)
10,gan(dh)-,gan(dh)-,dän.,kande,Kanne,dazu weiter(< *gandhnā)
11,gan(dh)-,gan(dh)-,ags.,canne,Kanne,dazu weiter(< *gandhnā)
12,gan(dh)-,gan(dh)-,ahd.,channa,Kanne,"dazu weiter(< *gandhnā), woraus spätlat. canna entlehnt ist"
13,gan(dh)-,gan(dh)-,spätlat.,canna,Kanne,entlehnt aus ahd. channa
14,gan(dh)-,gan(dh)-,fränk.,kanna,Kanne,"aus fränk. kanna auch prov. cana 'Hohlmaß', afr. channe 'Kanne', s. Meyer-Lübke 1596, Gamillscheg EWb. d. Franz. 168"
15,gan(dh)-,gan(dh)-,prov.,cana,Hohlmaß,entlehnt aus fränk. kanna
16,gan(dh)-,gan(dh)-,afr.,channe,Kanne,entlehnt aus fränk. kanna
17,gan(dh)-,gan(dh)-,ahd.,chanta,Kanne,"daneben ahd. chanta, canneta, fränk. cannada 'Kanne' (< *gandhā)"
18,gan(dh)-,gan(dh)-,ahd.,canneta,Kanne,"daneben ahd. chanta, canneta, fränk. cannada 'Kanne' (< *gandhā)"
19,gan(dh)-,gan(dh)-,fränk.,cannada,Kanne,"daneben ahd. chanta, canneta, fränk. cannada 'Kanne' (< *gandhā)"
0,garəĝ-,garəg̑-,arm.,karcr,hart,
1,garəĝ-,garəg̑-,arm.,karcem,"ich fürchte, glaube",
2,garəĝ-,garəg̑-,gr.,γοργός,"Furcht erregend, grausig, wild",
3,garəĝ-,garəg̑-,gr.,Γοργώ,Schreckgespenst,
4,garəĝ-,garəg̑-,gr.,γοργου̃σθαι,"wild werden (von Pferden, d. i. sich erschrecken)",
5,garəĝ-,garəg̑-,gr.,"γοργώψ, γοργωπός",schrecklich blickend,die gr. Worte aus *γαργό- assimiliert??
6,garəĝ-,garəg̑-,air.,garg,"rauh, wild",
7,garəĝ-,garəg̑-,air.,gargg,"rauh, wild",
8,garəĝ-,garəg̑-,mir.,grāin,"Häßlichkeit, Ekel, Scheu",*gragnis
9,garəĝ-,garəg̑-,mir.,grānda,häßlich,*gragnodi̯os
10,garəĝ-,garəg̑-,cymr.,graen,"Trauer, Kummer; abscheulich",
11,garəĝ-,garəg̑-,lit.,gražóju,bedrohen,
12,garəĝ-,garəg̑-,lit.,gražóti,bedrohen,
13,garəĝ-,garəg̑-,lett.,gražuôt,"grollen, eigensinnig sein",
14,garəĝ-,garəg̑-,lett.,gręzuôt,drohen,zum lett. e aus a hinter r s. Endzelin Lett. Gr. 36 f.
15,garəĝ-,garəg̑-,aksl.,groza,"Graus, Schauder",
16,garəĝ-,garəg̑-,skr.,gròzá,"grim, grievous, dreadful",
17,garəĝ-,garəg̑-,poln.,groza,das selbe,
18,garəĝ-,garəg̑-,russ.,grozá,"Drohung, Strenge, Unwetter",
19,garəĝ-,garəg̑-,ksl.,groziti,drohen,
20,garəĝ-,garəg̑-,sloven.,groziti,das selbe,
21,garəĝ-,garəg̑-,poln.,grozić,das selbe,
22,garəĝ-,garəg̑-,russ.,grozitь,das selbe,
23,garəĝ-,garəg̑-,russ.,gróznyj,"schrecklich, grausam",
0,ĝebh-,g̑ebh-,aisl.,kafi,abgeschnittenes Stück,m.
1,ĝebh-,g̑ebh-,aisl.,kefli,"Kabel, Holzstück, Knebel",n.
2,ĝebh-,g̑ebh-,aisl.,rūna-kefli,Runenstab,
3,ĝebh-,g̑ebh-,mnd.,kavele,Stück Holz (zum Losen),f.
4,ĝebh-,g̑ebh-,afries.,kavelia,verlosen,
5,ĝebh-,g̑ebh-,ndl.,kavel,"Anteil, Los",m.
6,ĝebh-,g̑ebh-,nhd.,Kabel,ds.,"dial., f. und m."
7,ĝebh-,g̑ebh-,lit.,žãbas,"Ast, Reisig, Zaum",m.
8,ĝebh-,g̑ebh-,lit.,žabà,Rute,f.
9,ĝebh-,g̑ebh-,lit.,žãbaras,dürrer Ast,
10,ĝebh-,g̑ebh-,lit.,žabóju,aufzäumen,
11,ĝebh-,g̑ebh-,lit.,žabóti,aufzäumen,
12,ĝebh-,g̑ebh-,lit.,žaboklas,Zügel,m.
13,ĝebh-,g̑ebh-,lit.,į́-žaboklis,Knebel,
14,ĝebh-,g̑ebh-,lit.,žúobris,Pflugschar,"ablaut., (Kurschat žuobrỹs)"
15,ĝebh-,g̑ebh-,lett.,žabuôt,dem Tier einen Knebel ins Maul stecken,
0,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",norw. dial.,kage,niedriger Busch,germ. *kagan-
1,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",schwed. dial.,,Baumstumpf (daraus engl. cag 'Stumpf'),
2,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",nhd. dial.,kag,"Kohlstengel, Stumpf",
3,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",ndl.,kag,Keil,germ. *kaʒiō
4,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",ndl.,kegge,Keil,germ. *kaʒiō
5,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",ahd.,kegil,"Pfahl, Pflock, Nagel",germ. *kaʒila-
6,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",aisl.,kaggi,"Fäßchen, Tönnchen",
7,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",mnd.,kāk,"Schandpfahl, Pranger",
8,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",ahd.,slito-chōho,Kufe,
9,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",nhd.,kueche,Schlittenkufe,(oberdeutsch)
10,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",nhd.,Kufe,Schlittenkufe,dissim.
11,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",lit.,žãgaras,"dürrer Zweig, Pl. 'Reisig, Gebüsch'",
12,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",lit.,žãgrė,Pflug,
13,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",lit.,žiõgris,Zaun,
14,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",lett.,žagari,Reisig,
15,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",lett.,žagas,loses Laub,Pl. f.
16,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",ags.,cǣg(e),"Schlüssel, Lösung",
17,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",afries.,kei,"Schlüssel, Lösung",*kaiga-
18,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",afries.,kai,"Schlüssel, Lösung",*kaiga-
19,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",mnd.,keie,"Schlüssel, Lösung",
20,"ĝegh-, ĝogh-","g̑egh-, g̑ogh-",arm.,cag,"Erhöhung, Gipfel, Ende","Petersson Heter. 89 f., zweifelhaft die von"
0,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,ai.,gāyati,singt,
1,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,ai.,gāti,singt,
2,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,ai.,gātú-,Gesang,m.
3,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,ai.,gītí-,Gesang,f.
4,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,ai.,gītá-,gesungen,
5,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,ai.,gā́thā,"Gesang, Vers",
6,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,av.,gāϑa,Lied religiösen Inbalts,
7,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,aruss.,gaju,krähen,
8,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,aruss.,gajati,krähen,
9,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,russ.,gajь,"Dohlengekrächze, Geschrei",m.
10,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,russ.,gákatь,"ächzen, krächzen",
11,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,baltisch,*gēidō,"to cry, sing",
12,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lit.,gíedu,"singen, krähen",
13,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lit.,gíestu,"singen, krähen",
14,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lit.,giedóti,"singen, krähen",
15,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lett.,dziêdu,singen,
16,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lett.,dziêdât,singen,
17,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lit.,gýstu,"zu singen, zu krähen anfangen",
18,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lit.,gýdau,"zu singen, zu krähen anfangen",
19,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lit.,gýsti,"zu singen, zu krähen anfangen",
20,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lit.,gaidỹs,Hahn,m.
21,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lit.,giesmė̃,Kirchenlied,f.
22,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lett.,dziêsma,Lied,f.
23,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,lett.,gaîlis,Hahn,m.
24,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,toch. A,kāk,er rief,"redupl., zu ai. gāti"
25,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,toch. B,kāka,er rief,"redupl., zu ai. gāti"
26,gē(i)- : gō(i)- : gī-,gē(i)- : gō(i)- : gī-,toch. A,keneńc,"to cry, sing","Präs. 3. Pl. (*gēi-n-?), Pedersen Tochar. 183, 263"
0,ĝeid-,g̑eid-,gr. hom.,νεογιλλός,seit kurzem saugend (von Tierjungen),
1,ĝeid-,g̑eid-,gr. hom.,Γίλλος,"saugend, Säugling",(von einem *γιλλός aus *γιδλός)
2,ĝeid-,g̑eid-,gr. hom.,Γιλλίς,"saugend, Säugling",(von einem *γιλλός aus *γιδλός)
3,ĝeid-,g̑eid-,gr. hom.,Γιλλίων,"saugend, Säugling",(von einem *γιλλός aus *γιδλός)
4,ĝeid-,g̑eid-,lit.,žindù,to suck,
5,ĝeid-,g̑eid-,lit.,žį́sti,sauge,
0,geiĝ-,geig̑-,osset.,änɣezun,gären,uriran. *ham gaizaya-
1,geiĝ-,geig̑-,osset.,ɣizun,"kalt werden, frieren",
2,geiĝ-,geig̑-,arm.,kc-anem,"stechen, beißen",Aor. 3. Sg. e-kic
3,geiĝ-,geig̑-,arm.,kc-u,"bitter, ranzig",
4,geiĝ-,geig̑-,air.,gēr,"scharf, sauer",*giĝ-ro-
5,geiĝ-,geig̑-,lit.,gìžti,sauer werden,
6,geiĝ-,geig̑-,lit.,"gaižùs, gižùs","ranzig, bitter, mürrisch",
7,geiĝ-,geig̑-,lit.,gaĩžti,bitter werden,
8,geiĝ-,geig̑-,alb.,gjize,"Ziger, Käse","s. vielmehr Jokl Idg. Jahrb. 18, 152"
0,ĝeis-,g̑eis-,mhd.,kis,Kies,
1,ĝeis-,g̑eis-,ags.,ciosol,das selbe,
2,ĝeis-,g̑eis-,ags.,cisel,das selbe,
3,ĝeis-,g̑eis-,ahd.,kisili,"Kiesel, Steinchen",
4,ĝeis-,g̑eis-,ahd.,kisel,"Kiesel, Steinchen",
5,ĝeis-,g̑eis-,ahd.,kisilinc,"Kiesel, Steinchen",
6,ĝeis-,g̑eis-,nnd.,keiserling,das selbe,
7,ĝeis-,g̑eis-,nnd.,keserling,das selbe,
8,ĝeis-,g̑eis-,nnd.,kiserling,das selbe,
9,ĝeis-,g̑eis-,apr.,sixdo,Sand,
10,ĝeis-,g̑eis-,lit.,žiezdrà,"Kies, Korn",
11,ĝeis-,g̑eis-,lit.,žiẽzdros,"Kies, grober Sand",
12,ĝeis-,g̑eis-,lit.,žiẽgzdros,das selbe,
13,ĝeis-,g̑eis-,lit.,žiẽgzdrai,das selbe,
14,ĝeis-,g̑eis-,phryg.,γίσσα,Stein,Fragwürdig die Zugehörigkeit des angeblich phryg. γίσσα 'Stein' bei Steph. Byz. s. v. Μονογισσα
0,"g↓↓e↓↓li-, glī-","geli-, glī-",ai.,girí-ḥ,Maus,Lex.
1,"g↓↓e↓↓li-, glī-","geli-, glī-",ai.,girikā,Maus,Lex.
2,"g↓↓e↓↓li-, glī-","geli-, glī-",gr.,γαλέη,"Wiesel, Marder",ursprüngl. 'die mausartige'?
3,"g↓↓e↓↓li-, glī-","geli-, glī-",lat.,galea,'Lederhelm; Haube auf dem Kopf afrikanischer Hühner',"ursprüngl. '*Haube aus Wieselfell', entlehnt von gr. γαλέη"
4,"g↓↓e↓↓li-, glī-","geli-, glī-",lat.,galērus,"'Pelzkappe, Perücke'",entlehnt von einem unbelegten gr. *γαληρός
5,"g↓↓e↓↓li-, glī-","geli-, glī-",gr.,γαλιάγκων,"'Taubnessel', eigentlich 'Wieselauge'",γαλι- = ai. giri-
6,"g↓↓e↓↓li-, glī-","geli-, glī-",gr.,γαληόψις,mouse,
7,"g↓↓e↓↓li-, glī-","geli-, glī-",gr.,γαλεόβδολον,"'Taubnessel', eigentlich 'Wieselauge'",
8,"g↓↓e↓↓li-, glī-","geli-, glī-",gr.,γάλιον,mouse,
9,"g↓↓e↓↓li-, glī-","geli-, glī-",lat.,glīs,"'Haselmaus, Bilchmaus, Siebenschläfer'","diese Flexion vermutlich nach mūs, mūris"
10,"g↓↓e↓↓li-, glī-","geli-, glī-",lat.,glīris,"'Haselmaus, Bilchmaus, Siebenschläfer'","diese Flexion vermutlich nach mūs, mūris"
11,"g↓↓e↓↓li-, glī-","geli-, glī-",rom.,*glēre,mouse,vgl. frz. loir neben liron
12,"g↓↓e↓↓li-, glī-","geli-, glī-",frz.,loir,mouse,
13,"g↓↓e↓↓li-, glī-","geli-, glī-",frz.,liron,mouse,
0,"geng-, gong-","geng-, gong-",gr.,γόγγρος,Auswuchs am Stamm von Ölbäumen; Meeraal,"daraus lat. gonger, conger ds."
1,"geng-, gong-","geng-, gong-",gr.,γογγρώνη,angeschwollene Halsdrüse,
2,"geng-, gong-","geng-, gong-",gr.,γόγγων · μωρός Hes.,feist und dumm?,
3,"geng-, gong-","geng-, gong-",gr.,γογγύλος,rund,"-ύλος Suffix wie in στρογγύλος, ἀγκύλος; vgl. auch lit. gungulỹs 'Ball'"
4,"geng-, gong-","geng-, gong-",gr.,"γογγυλίς, γογγύλη",Rübe,
5,"geng-, gong-","geng-, gong-",gr.,"γιγγίς, -ίδιον",eine Art Rübe,"aus *γεγγί- assimiliert; der Anklang an lit. žinginis 'eine Pflanze, Calla palustris' und die ai. Pflanzennamen jiŋginī, jhiñjhikā ist gewiß zufällig"
6,"geng-, gong-","geng-, gong-",lat.,gingīva,Zahnfleisch,"f. (meist Plur.), Weiterbildung aus *gengā 'Beule, Buckel'"
7,"geng-, gong-","geng-, gong-",anord.,kǫkkr,Ball,"*gongu-s; dagegen stammt ahd. kankur, nhd. Kanker 'Stengelkrankheit bes. der Nelken' aus lat. cancer 'Krebsgeschwür'"
8,"geng-, gong-","geng-, gong-",anord.,vatn-kakki,Wassereimer,m. (*gong-)
9,"geng-, gong-","geng-, gong-",mnd.,kinke,Windung bei einem Tau,
10,"geng-, gong-","geng-, gong-",norw. dial.,kink(e),Windung bei einem Tau,"kink auch 'kleine Biegung, verächtliche Bewegung des Kopfes'"
11,"geng-, gong-","geng-, gong-",mnd.,kinke,gewundenes Schneckenhaus,
12,"geng-, gong-","geng-, gong-",norw. dial.,kank,"Drehung, Knoten im Faden, Unwilligkeit",
13,"geng-, gong-","geng-, gong-",lit.,gùnga,"Buckel, Ball, Klumpen","daraus lett. gùn̨ġis 'Krümmung, Bauch'"
14,"geng-, gong-","geng-, gong-",lit.,gungulỹs,Ball,
15,"geng-, gong-","geng-, gong-",lit.,"gùngu, gùngti",sich krümmen,
16,"geng-, gong-","geng-, gong-",lit.,gùnginti,"langsam gehen, von einem gekrümmt gehenden Menschen",
17,"geng-, gong-","geng-, gong-",balt.,*gunž-,,"in gūžỹs 'Kropf bei Vögeln, Adamsapfel, Kopf des Oberschenkelknochens; Kohlkopf', gūžiù, gū̃žti 'sich zusammenballen, einmummeln; sich zur Erde setzen (vom Huhn, das die Flügel ausbreitet)', gūštà 'Lager, Nest eines Huhns, einer Gans'; apr. gunsix 'Beule'"
